"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
20074883,"Guest Suite of New,Modern House 5 min to Downtown",17610409,"Alexandra",NA,28801,35.61005,-82.55212,"Entire home/apt",118,2,146,"2022-03-13",2.61,1,103,31,NA
47461928,"Color Me on the Trail: Mountain views, expansive deck and more!",96187307,"Yonder",NA,28803,35.52652,-82.48041,"Entire home/apt",325,1,13,"2022-01-30",1.09,46,320,13,NA
19101996,"The In-Between:Private small house between N&W Avl",50024355,"Alice",NA,28806,35.60655,-82.5908,"Entire home/apt",73,1,347,"2022-03-12",6.12,1,26,83,NA
27335298,"City of Asheville at Your Feet",205982545,"Betsy",NA,28804,35.61701,-82.53476,"Entire home/apt",179,2,103,"2021-12-19",2.39,1,2,37,NA
8266788,"5 Mins to Downtown/ 2 MIns-Biltmore",1686503,"Robert",NA,28803,35.57594,-82.54484,"Entire home/apt",302,2,38,"2022-02-20",0.48,1,0,10,NA
14941161,"City Serenity",48356327,"Marianne",NA,28801,35.60729,-82.5506,"Entire home/apt",125,2,196,"2022-01-23",2.96,1,233,29,NA
554287692513149888,"Newly renovated condo - steps to Thomas Wolf Auditorium",443139360,"Vacasa North Carolina",NA,28801,35.59757,-82.55421,"Entire home/apt",170,2,62,"2022-02-28",1.66,22,336,25,NA
21011400,"Polished New Home in Desirable Location by River",6074062,"Melissa",NA,28806,35.56732,-82.56913,"Entire home/apt",550,2,169,"2022-03-17",3.11,7,233,42,NA
29732553,"Mountain views close to everything in Asheville!",108148421,"Kate",NA,28803,35.52907,-82.49205,"Entire home/apt",511,2,145,"2022-03-18",3.61,1,192,40,NA
3868910,"The Henhouse",19977236,"Louisa",NA,28801,35.59157,-82.56673,"Entire home/apt",124,2,310,"2022-02-20",3.36,1,220,46,NA
42327054,"Gobble & Gruff Farm Stay & Play in Asheville",305733054,"Susanne",NA,28805,35.60973,-82.46577,"Entire home/apt",70,2,12,"2022-01-02",0.81,1,4,10,NA
29587963,"Happy Place Haven - Beautiful New Home w/ Firepit",1918120,"Dean And Stacey",NA,28806,35.63743,-82.63344,"Entire home/apt",145,1,119,"2022-03-05",2.9,1,171,30,NA
53142343,"4 BR with hot tub ~ 12 miles to downtown Asheville",242474849,"Jennifer",NA,28803,35.50005,-82.49572,"Entire home/apt",155,2,12,"2022-03-12",2.95,14,328,12,NA
46562220,"Weekender Cabin 3 Miles from Downtown Asheville",149112188,"Sharon & David",NA,28806,35.60868,-82.60276,"Entire home/apt",110,2,108,"2022-03-16",6.89,2,269,91,NA
49401018,"Advantageous AVL Home Convenient to Mtns & City",56757021,"Maggie",NA,28803,35.55582,-82.50391,"Entire home/apt",221,3,34,"2022-03-13",3.57,1,207,34,NA
41552639,"East Asheville 2 AirBNBs in 1,Views,Pets,Sleeps 12",189799819,"Michael&Kerrie",NA,28803,35.55054,-82.46726,"Entire home/apt",341,2,25,"2022-02-27",1.01,4,159,16,NA
41800927,"Private luxury where city & nature come together",7262993,"Mike",NA,28806,35.57259,-82.59243,"Entire home/apt",152,1,249,"2022-03-14",9.6,1,227,114,NA
22063379,"Quiet Bright Bedroom Close to Downtown",227432,"Elizabeth",NA,28804,35.61819,-82.55874,"Private room",48,1,337,"2021-11-15",6.47,1,0,35,NA
